Date,Open,High,Low,Close,Adj Close,Volume
2020-03-27,36.080002,36.240002,34.639999,35.759998,35.759998,15312100
2020-03-30,33.680000,34.240002,32.240002,33.840000,33.840000,20541200
2020-03-31,34.959999,34.959999,33.279999,33.680000,33.680000,15639500
2020-04-01,33.919998,35.040001,33.040001,35.040001,35.040001,14878700
2020-04-02,36.639999,45.360001,36.000000,40.880001,40.880001,40226700
2020-04-03,45.599998,48.160000,43.520000,47.200001,47.200001,28238800
2020-04-06,44.959999,45.680000,42.959999,43.840000,43.840000,20350300
2020-04-07,43.680000,44.240002,39.119999,40.720001,40.720001,23432500
2020-04-08,40.639999,43.200001,39.520000,42.959999,42.959999,21114000
2020-04-09,43.200001,46.240002,38.400002,39.840000,39.840000,37976200
2020-04-13,39.759998,40.560001,38.799999,39.439999,39.439999,15693900
2020-04-14,38.080002,38.400002,36.240002,37.279999,37.279999,23984000
2020-04-15,35.439999,35.759998,34.400002,35.439999,35.439999,27402800
2020-04-16,35.200001,35.279999,33.200001,34.880001,34.880001,30161200
2020-04-17,33.200001,34.080002,32.799999,33.680000,33.680000,31270600
2020-04-20,30.080000,32.400002,29.600000,30.000000,30.000000,109403800
2020-04-21,25.520000,27.200001,18.480000,22.480000,22.480000,124913000
2020-04-22,23.200001,23.520000,20.000000,20.080000,20.080000,54851800
2020-04-23,21.440001,22.959999,20.799999,21.120001,21.120001,39783700
2020-04-24,21.520000,21.840000,20.080000,20.559999,20.559999,22803900
2020-04-27,18.400000,18.400000,17.040001,17.520000,17.520000,33885000
2020-04-28,17.280001,18.000000,16.879999,17.040001,17.040001,155814800
2020-04-29,18.010000,18.219999,17.459999,18.000000,18.000000,23378600
2020-04-30,18.760000,19.299999,17.860001,19.120001,19.120001,23955900
2020-05-01,19.120001,19.180000,18.420000,18.860001,18.860001,13831100
2020-05-04,18.580000,19.680000,18.360001,19.670000,19.670000,14044800
2020-05-05,20.760000,21.790001,20.740000,21.510000,21.510000,20954800
2020-05-06,21.290001,21.510000,20.299999,20.850000,20.850000,17295800
2020-05-07,21.879999,21.910000,20.270000,20.469999,20.469999,12745400
2020-05-08,21.080000,21.670000,20.660000,21.469999,21.469999,10523500
2020-05-11,21.530001,21.600000,20.760000,21.170000,21.170000,10461600
2020-05-12,21.400000,21.570000,20.889999,20.969999,20.969999,10138500
2020-05-13,21.049999,21.309999,20.299999,20.600000,20.600000,10082900
2020-05-14,20.730000,21.820000,20.590000,21.450001,21.450001,11539700
2020-05-15,21.950001,22.610001,21.680000,22.389999,22.389999,11525000
2020-05-18,24.040001,24.799999,23.799999,24.309999,24.309999,19714100
2020-05-19,24.469999,24.709999,24.040001,24.440001,24.440001,9373400
2020-05-20,24.950001,25.540001,24.879999,25.340000,25.340000,11752400
2020-05-21,26.500000,27.490000,25.879999,26.600000,26.600000,21259800
2020-05-22,26.090000,26.150000,25.059999,25.570000,25.570000,10614700
2020-05-26,25.930000,25.990000,25.330000,25.660000,25.660000,12891300
2020-05-27,25.180000,25.340000,24.260000,25.000000,25.000000,13839700
2020-05-28,24.840000,25.580000,24.549999,25.030001,25.030001,8087000
2020-05-29,24.639999,26.430000,24.600000,25.879999,25.879999,12747800
2020-06-01,25.719999,26.469999,25.559999,26.219999,26.219999,8201000
2020-06-02,26.549999,27.100000,26.469999,27.070000,27.070000,9131500
2020-06-03,27.170000,27.530001,26.650000,27.120001,27.120001,11428000
2020-06-04,27.080000,27.620001,26.809999,27.500000,27.500000,11377000
2020-06-05,28.590000,29.190001,28.370001,28.870001,28.870001,11820600
2020-06-08,28.969999,29.000000,28.110001,28.370001,28.370001,14161900
2020-06-09,28.070000,28.549999,27.680000,28.420000,28.420000,10176400
2020-06-10,28.080000,29.070000,27.719999,28.430000,28.430000,8303000
2020-06-11,26.799999,27.170000,25.940001,26.360001,26.360001,22801300
2020-06-12,26.639999,26.809999,25.850000,26.430000,26.430000,8880000
2020-06-15,25.469999,27.070000,25.360001,26.980000,26.980000,8642100
2020-06-16,27.860001,28.290001,26.969999,27.639999,27.639999,11803900
2020-06-17,27.469999,27.750000,27.170000,27.280001,27.280001,7367200
2020-06-18,27.309999,28.020000,27.240000,27.889999,27.889999,6278300
2020-06-19,28.660000,28.860001,27.540001,28.230000,28.230000,13501000
2020-06-22,28.430000,29.040001,28.330000,28.980000,28.980000,8862100
2020-06-23,29.299999,29.420000,28.590000,28.719999,28.719999,7358700
2020-06-24,28.410000,28.620001,26.820000,27.250000,27.250000,11101100
2020-06-25,27.180000,28.049999,27.090000,27.940001,27.940001,8768600
2020-06-26,27.670000,27.700001,27.120001,27.360001,27.360001,5251700
